"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:12,1746276","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 0, Length: 4.096, Priority: Normal"
"16:53:12,1748219","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 4.096, Length: 4.096"
"16:53:12,1749134","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 8.192, Length: 4.096"
"16:53:12,1750013","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 12.288, Length: 4.096"
"16:53:12,1750906","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 16.384, Length: 4.096"
"16:53:12,1751739","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 20.480, Length: 4.096"
"16:53:12,1752543","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 24.576, Length: 4.096"
"16:53:12,1753406","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 28.672, Length: 4.096"
"16:53:12,1754197","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 32.768, Length: 4.096"
"16:53:12,1755100","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 36.864, Length: 4.096"
"16:53:12,1755774","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 40.960, Length: 4.096"
"16:53:12,1756649","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 45.056, Length: 4.096"
"16:53:12,1757327","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 49.152, Length: 4.096"
"16:53:12,1758394","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 53.248, Length: 4.096"
"16:53:12,1759147","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 57.344, Length: 4.096"
"16:53:12,1760168","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 61.440, Length: 4.096"
"16:53:12,1760883","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 65.536, Length: 4.096"
"16:53:12,1762040","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 69.632, Length: 4.096"
"16:53:12,1762735","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 73.728, Length: 4.096"
"16:53:12,1763362","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 77.824, Length: 4.096"
"16:53:12,1763961","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 81.920, Length: 4.096"
"16:53:12,1765395","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 86.016, Length: 4.096"
"16:53:12,1765951","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 90.112, Length: 4.096"
"16:53:12,1766597","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 94.208, Length: 4.096"
"16:53:12,1767222","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 98.304, Length: 4.096"
"16:53:12,1768509","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 102.400, Length: 4.096"
"16:53:12,1769067","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 106.496, Length: 4.096"
"16:53:12,1769701","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 110.592, Length: 4.096"
"16:53:12,1770269","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 114.688, Length: 4.096"
"16:53:12,1771044","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 118.784, Length: 4.096"
"16:53:12,1772122","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 122.880, Length: 4.096"
"16:53:12,1772691","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 126.976, Length: 4.096"
"16:53:12,1773235","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 131.072, Length: 4.096"
"16:53:12,1773851","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 135.168, Length: 4.096"
